Zip Codes,Senior Centers,Elderly(over 65),Kids Under 5,Cooling Centers,Caregiver (Organizations),Percent 100% Below Poverty Threshold 2013-2017,Percent Between 100% and 150% of Poverty Threshold 2013-2017,Total Percent Below 150% of Poverty Threshold 2013-2017,Affordable housing(buildings),Affordable housing total units
11225,1,14.66%,6.10%,1,0,20.8,27.4,48.2,26,1199
11226,2,11.99%,6.80%,1,0,21.5,27.9,49.4,30,1632
11228,0,16.78%,6.20%,1,0,19,20.3,39.3,0,0
11229,2,18.03%,7.10%,2,0,18.6,24.5,43.1,3,169
11230,4,15.96%,10.30%,0,0,24.35,30.15,54.5,7,628
11231,2,11%,8.60%,2,0,9.6,8.7,18.3,47,864
11232,0,9.80%,7.60%,3,0,27.9,29.8,57.7,7,183
11233,3,11.23%,8.20%,1,0,29.4,31.6,60.9,158,3080
11234,4,17.55%,6.50%,3,0,14.6,20.8,35.4,0,0
11235,3,22.23%,5.40%,0,1,21.5,26.3,47.8,11,1139
11236,2,13.24%,6.80%,2,0,14.6,20.8,35.4,1,41
11237,1,7.26%,5.80%,2,0,24.8,27.4,52.2,31,504
11238,1,5.30%,7%,3,0,15.7,20.9,36.65,78,3380
11239,2,29.07%,5%,1,0,28.7,30.6,59.3,160,7061
11241,0,0%,0%,0,0,21.5,27.9,49.4,0,0
11242,0,0%,0%,0,0,21.5,27.9,49.4,0,0
11243,0,0%,0%,0,0,21.5,27.9,49.4,0,0
11249,0,7.41%,6.60%,0,0,21.5,27.9,49.4,15,2309
11252,0,0%,0%,0,0,19,20.3,39.3,0,0
11256,0,0%,0%,0,0,28.7,30.6,59.3,0,0
11351,0,0%,0%,0,0,25.5,23.2,48.8,0,0
11354,1,18.70%,5.50%,2,0,25.5,23.2,48.8,0,0
11355,2,16.66%,5.60%,1,0,25.5,23.2,48.8,2,286
11356,1,14.39%,7.30%,1,0,25.5,23.2,48.8,0,0
11357,0,21.83%,5.60%,1,0,25.5,23.2,48.8,0,0
11358,1,19.34%,5.80%,2,0,25.5,23.2,48.8,1,7
11359,0,25.59%,7.30%,0,0,25.5,23.2,48.8,0,0
11360,1,25.59%,7.30%,0,0,25.5,23.2,48.8,0,0
11361,0,20.16%,4.30%,0,0,14.1,17.8,32,0,0
11362,1,24.60%,5.10%,0,0,14.1,17.8,32,0,0
11363,0,24.60%,5.10%,0,0,14.1,17.8,32,0,0
11364,1,17.96%,6.40%,3,0,14.1,17.8,32,0,0
11365,0,14.42%,6.30%,1,0,23.15,22.25,45.45,0,0
11366,0,14.42%,6.30%,0,0,20.8,21.3,42.1,0,0
11367,2,15.17%,9%,0,0,20.8,21.3,42.1,0,0
11368,3,8.64%,9%,0,0,25.6,33.6,59.2,5,384
11369,1,14.28%,7.20%,1,0,24,31.7,55.7,3,77
11370,0,15.65%,6%,0,0,21.05,27.05,48.1,0,0
11371,0,0%,0%,0,0,0,0,0,0,0
11372,2,15.65%,6%,5,0,24,31.7,55.7,1,28
11373,2,13.33%,6.10%,0,0,25.6,33.6,59.2,0,0
11374,1,22.06%,5.70%,1,0,15.1,15.7,30.8,0,0
11375,3,19.95%,6.70%,0,0,15.1,15.7,30.8,5,689
11377,1,15.21%,4.90%,0,0,18.8,25.6,44.4,8,1185
11378,1,12.72%,6.70%,1,0,16.8,20.7,37.5,0,0
11379,1,17.94%,5.40%,0,0,16.8,20.7,37.5,0,0
11385,2,10.32%,6.40%,0,0,16.8,20.7,37.5,4,114
11411,1,19.65%,4.20%,0,0,12.3,18.7,31.1,3,3
11412,0,13.96%,6.30%,0,0,19,25,44,31,135
11413,0,15.73%,5.90%,2,0,12.3,18.7,31.1,14,50
11414,1,21.97%,5.50%,1,0,17.3,22.9,40.3,0,0
11415,1,16%,6.30%,0,0,20.8,27.4,48.2,0,0
11416,1,11.76%,6.50%,1,0,21.5,23.5,45,0,0
11417,0,11.21%,6.20%,0,0,17.3,22.9,40.3,1,1
11418,0,10.95%,6.30%,1,0,21.5,23.5,45,0,0
11419,0,10.95%,6.30%,0,0,19.4,23.2,42.65,2,11
11420,0,12.17%,5.70%,0,0,17.3,22.9,40.3,7,7
11421,1,11.76%,6.50%,0,0,21.5,23.5,45,0,0
11422,1,12.57%,5.90%,2,1,12.3,18.7,31.1,1,1
11423,0,17.67%,5.70%,1,0,19,25,44,3,3
11426,0,15.13%,7.80%,0,0,12.3,18.7,31.1,0,0
11427,4,14.88%,5.20%,0,0,12.3,18.7,31.1,1,1
11428,0,14.88%,5.20%,0,0,12.3,18.7,31.1,0,0
11429,0,14.88%,5.20%,0,0,12.3,18.7,31.1,6,6
11430,0,0%,0%,0,0,0,0,0,0,0
11432,1,12.68%,7%,2,0,19,25,44,13,781
11433,5,11.81%,6.20%,0,0,19,25,44,6,532
11434,2,15.18%,6.60%,2,0,19,25,44,16,524
11435,1,12.41%,6.70%,1,0,19,25,44,10,1694
11436,0,11.72%,6.20%,0,0,19,25,44,6,6
11691,0,12.93%,10.40%,3,0,17.2,30.9,48.1,10,1757
11692,0,11.66%,7.80%,1,0,17.2,30.9,48.1,13,1468
11693,0,11.66%,7.80%,0,0,17.2,30.9,48.1,6,1213
11694,0,20.02%,6.40%,0,0,17.2,30.9,48.1,2,54
11697,0,20.02%,6.40%,0,0,17.2,30.9,48.1,0,0
